title,description
Android Developer (Middle - Senior),"– Có kinh nghiệm trong lập trình Android, với kiến thức về framework chính Android, ngôn ngữ Java và Kotlin;– Kinh nghiệm sử dụng thư viện thứ 3 như Dagger, Retrofit, RxJava,...;– Hiểu biết về kiến trúc ứng dụng Android hiện đại như MVP/ Clean architecture;– Có kinh nghiệm lập trình với tất cả các bước lập trình ứng dụng trên Android: network, database, model, logics và tầm nhìn doanh nghiệp;– Kinh nghiệm lập trình client-server mobile apps hiệu suất cao: nhanh và phản hồi tốt;– Có kinh nghiệm với unit testing;– Hiểu biết về nguyên tắc giao diện người dùng Android, khả năng sử dụng di động;– Tư duy phản biện, giải quyết vấn đề, kỹ năng giao tiếp;– Khả năng làm việc độc lập và làm việc nhóm;– Ý thức, không cần thiết chịu giám sát chặt chẽ;– Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin hoặc các chuyên ngành liên quan, ưu tiên ứng viên tốt nghiệp từ các trường ĐH Bách Khoa, ĐH Công nghệ-ĐHQGHN, FPT, Bưu Chính Viễn Thông, ĐH Công Nghiệp,..."
Chuyên Viên Điều Phối Dự Án-Project Coordinator,"Tốt nghiệp Đại học các chuyên ngành liên quanCó kinh nghiệm 3-4 năm về quản lý dự án (có liên quan ngành Công Nghệ Thông Tin là điểm cộng)Kỹ năng sử dụng thành thạo MS Word, MS Excel, MS Power Point và các phần mềm Quản Lý Dự ÁnKỹ năng giao tiếp tốt, khả năng thuyết trình và truyền đạt thông tin dễ hiểu. Khả năng làm việc nhóm, cung cấp hướng dẫn, phản hồi và thúc đẩy nhóm để đạt được mục tiêu.Khả năng tổ chức, quản lý thông tin và thời gian, chủ động trong công việc.Kỹ năng giải quyết vấn đề, cung cấp giải pháp giải quyết các vấn đề phát sinh mà không cần sự trợ giúp. Giao tiếp tốt bằng Tiếng Anh là điểm cộng."
Frontend Developer,"Có kiến thức tốt về JavaScript hiện đại, hiếu biết về EcmaScript.Quen thuộc với TypeScript là một lợi thểThành thạo HTML/CSS Có kiến thức tốt về cầu trúc dữ liệu và giải thuậtCó hiểu biết về Functional programmingCó mindset vê clean code, quen thuộc với các công cụ linting: EsLint. TsLint, Prettier Hiểu biết về các công cụ bundler: webpack, parcel, rollup, babelCó kinh nghiệm về React và React Hook APISử dụng thành thạo GitCó khả năng phân tích yêu câu tốt.Khả năng năm bắt, học hỏi kỹ thuật mới nhanhCó tư duy logic tốt và khả năng tự họcCó khả năng làm việc độc lập, làm việc nhóm và giải quyết vấn đềLuôn luôn chủ động trong công việc, khả năng chịu áp lực công việc tốtCó khả năng đọc hiểu tài liệu, giao tiếp bằng tiếng anh"
Tester,"Có ít nhất 2-3 năm kinh nghiệm làm việc trong lĩnh vực kiểm thử web/mobile app.Hiểu biết về quy trình kiểm thử phần mềm.Khả năng làm việc độc lập và trong nhóm, có khả năng quản lý thời gian tốt.Mạnh về Manual Test và có định hướng hoặc khả năng làm Automation Test (function và performance).Có khả năng phân tích để xác định lỗi và vấn đề liên quan đến tính năng và hiệu suất.Khả năng giao tiếp và làm việc cùng các bộ phận khác để giải quyết vấn đề và cải thiện quy trình làm việc.Có khả năng phân tích nghiệp vụ.Test thành thao API, hiểu biết chuyên sâu các tool hỗ trợ test api.Sử dụng thành thao SQL.Có kỹ năng test chuyên sâu.Sử dụng thành thao SQL.Tiếng Anh hoặc tiếng Nhật mức có thể giao tiếp nghe hiểu và trao đổi được với khách hàng.Sẵn sàng đi onsite khi cần."
Thực Tập Sinh IOS Developer Không Lương,"Có tư duy tốt về lập trình hướng đối tượngThành thạo làm việc với ngôn ngữ swiftNắm vững kiến thức MVC, MVVMCó khả năng research và tìm hiểu công nghệ mớiKỹ năng làm việc nhóm hoặc độc lập với áp lực caoChủ động, chăm chỉ, năng động, sáng tạo, khả năng tự nghiên cứu, cẩn thận và có tinh thần trách nhiệm cao.Đọc hiểu tài liệu tiếng Anh và sử dụng các công cụ quản lý source code như Git, SourceTree, v.v."
User Acquisition Executive / Marketing Advertiser,"- 1 years of experience in running UA campaigns on Google Ads and other platforms for mobile game or app - Familiarity with tracking systems such as Google Analytics, Appsflyer or Adjust - Experience using market research platforms such as App Annie, SensorTower or others - Experience with platforms such as Apple Search Ads, Facebook, Tiktok, Unity and Applovin is an advantage - Business mindset and knowledge of the mobile game/app global market is preferred - Proactive and highly responsible - Sufficient English proficiency to research market and work with foreign Account Managers- Knowledge of mobile application metrics and ability to use them to optimize user acquisition and retention."
Chuyên Viên Phát Triển Ứng Dụng .Net Developer,"Tốt nghiệp Cao đẳng/Đại học hoặc tương đương chuyên ngành Công nghệ thông tin.Ít nhất 06 tháng kinh nghiệm hoặc đã tham gia ít nhất một dự án .Net Window Form với DevExpress.Có kinh nghiệm phát triển ứng dụng dựa trên OOP C# .NET, ASP.NET Core MVC, Web API, RESTFul, SOAP Service, DevExpress Control.Có kinh nghiệm lập trình T-SQL trên SQL Server.Có kinh nghiệm sử dụng GIT using GIT flow.Có hiểu biết về các ứng dụng Web Application Server như IIS, Apache, Kong, RabbitMQ, Redis là 1 lợi thế.Có hiểu biết về quy trình phát triển phần mềm bằng Agile using Scrum framework.Có thể đọc hiểu tài liệu chuyên ngành bằng tiếng Anh."
IT Support,"Thông thạo Windows 10/11, Mac OS X, Microsoft Office, Google Workspace và các phần mềm phổ biến khácCó thể trực ngoài giờ hành chính (lịch trực phân bổ giữa các thành viên)Kiến thức về mạng máy tính và quản trị hệ thống là lợi thếKhả năng giao tiếp tiếng Anh tốt là lợi thếNăng động, trách nghiệm, kỷ luật và làm việc nhóm tốt"
Kỹ Thuật Viên,"Đã có chuyên môn về hệ thống điện nhẹ, chấp nhận ứng viên mới ra trường, có bằng cấp về CNTT.Lắp đặt và thi công trực tiếp các công trình cấp trên giaoTham gia bảo trì và xử lý sự cố cho khách hàngChuyên ngành: CNTT hoặc điện, điện tửKinh nghiệm: Dưới 1 nămTuổi từ 18 đến 45Thời gian bắt đầu làm việc: Ngay khi có thông báo trúng tuyển"
Fresher React,"Ứng viên đã tốt nghiệp các trường đại học, cao đẳng hoặc các trung tâm đào tạo chuyên sâu về công nghệ thông tin. ● Đã từng làm ứng dụng thực tế, đồ án hoặc các dự án liên quan đến lập trình React (React Native hoặc ReactJS) ● Có kỹ năng làm việc với Javascript, HTML, CSS ● Có tư duy logic, khả năng học hỏi tốt QUYỀN LỢI"
SAP Solution Architect,"Working experience & BackgroundBằng đại học, ưu tiên bằng Cử nhân về Khoa học Máy tính, Công nghệ Thông tin hoặc một lĩnh vực liên quan.Tối thiểu 6 năm kinh nghiệm trong lĩnh vực SAP với vai trò engineer, bao gồm ít nhất 1 năm kinh nghiệm làm SAP Solution Architect.Chuyên môn sâu về WRICEF (Workflows, Reports, Interfaces, Conversions, Enhancements, and Forms).Kiến thức sâu rộng về phát triển ABAP và hiểu biết tốt về các module SAP như Finance, MM, PP, QM, SD, PLM và APO.Kinh nghiệm trong việc định lượng kỹ thuật và thiết kế SAP, cài đặt, nâng cấp, di chuyển S/4HANA và quản trị hàng ngày trên nhiều hệ điều hành và biến thể cơ sở dữ liệu (bao gồm SAP HANA).Hiểu sâu về SAP best practice, methodologies, công cụ phát triển và tích hợp SAPSkillsKỹ năng giao tiếp và tương tác tốt: có khả năng tương tác hiệu quả với khách hàng, các bên liên quan và thành viên trong nhóm.Kỹ năng làm việc nhóm tốt: có khả năng làm việc tốt cả độc lập và làm việc nhóm.Kỹ năng giải quyết vấn đề tốt: luôn chủ động trong việc nhận diện và giải quyết các vấn đề kỹ thuật.Kiến thức nền tảng vững chắc về cấu trúc doanh nghiệp."
Nhân Viên Kiểm Thử,"- Tốt nghiệp Đại học Chuyên ngành CNTT hoặc đã tham gia các khóa học Test- Có ít nhất 1 năm kinh nghiệm test web- Ưu tiên người biết tiếng Nhật, hoặc đã có kinh nghiệm làm việc tại các công ty outsourcing thị trường Nhật Bản- Chăm chỉ, cẩn thận."
Storage System Engineer - Kỹ Sư Tích Hợp Hệ Thống,"Trình độ học vấn: Tốt nghiệp đại học chuyên nghành CNTT, Toán tin. ĐTVTKỹ năng chuyên môn:Có kiến thức về ảo hóa VMware vSphere: ESXi Hypervior, Virtual Machine, vSphere Installation, vSphere Storage, Virtual Network, Vmware Vsphere HA, DRS, vSAN, vCenterCó kiến thức chuyên môn và khả năng triển khai các dòng máy chủ phổ biến như Dell (PowerEdge, vXrail), HPE (Proliant, Synergy), Cisco UCS,Thành thạo sử dụng Linux: Linux Shell, Vi Editor, DNS, NFS, Bash Shell, Kernel, Systemd, Service configuration, Networking, SSH, LVM, User and GroupCó kiến thức cơ bản về Network: TCP/IP, OSI Layer, DHCP, VLAN, HSRP, ACL, WAN, Subneting, Routing, NAT Static Route, MTU, BGP, OSPF, vxlan,Có kiến thức về Windows Services: Active Directory, DNS, NTP, ADFSCó kiến thức cơ bản về hệ thống lưu trữ SAN, SAN StorageƯu tiên chuyên môn: Ưu tiên các ứng viên có chứng chỉ quốc tế: Vmware, HPE, Dell, Cisco"
Network Security Engineer,"Có kiến thức chuyên môn và hiểu biết sâu sắc về các giải pháp Network Security: NGFW (Palo Alto, Fortinet, Check Point, ...)Có kiến thức và kinh nghiệm triển khai một trong các các giải pháp sau: giải pháp bảo mật như Bitdefender, Trend Micro, McAfee Endpoint Security, Microsoft Defender Advanced Threat Protection, Symantec Endpoint ProtectionCó kiến thức và kinh nghiệm triển khai về giải pháp PAM(quản lý đặc quyền truy cập), WAF (bảo vệ ứng dụng web)Có kiến thức và kinh nghiệm sử dụng hệ điều hành Linux (CentOS, Ubuntu, Debian, ...)."
Playable Ads Developer (Junior Up),"- Theo học các ngành CNTT tại các trường đại học- Có nền tảng tư duy thuật toán, cấu trúc giải thuật tốt- Có kiến thức về ngành game hoặc các nền tảng quảng cáo là 1 lợi thế- Có tối thiểu 6 tháng-1 năm kinh nghiệm lập trình ở vi trí tương đương- Biết sử dụng 1 trong những ngôn ngữ lập trình sau: HTML5, Java, cocos, JavaScript, C#, Unity...- Khả năng làm việc nhóm tốt- Khả năng giao tiếp tốt- Ham học hỏi và đam mê tìm kiếm và áp dụng các công nghệ mới- Tinh thần câu tiến và luôn phát triển bản thân- Chịu được áp lực công việc dưới cường độ làm việc nhanh- Tinh thần trách nhiệm với sản phẩm, đội nhóm cao."
"Java Developer (Microservice, Spring Boot)","Tốt nghiệp đại học chuyên ngành CNTT, Toán tin, Điện tử viễn thông hoặc các ngành tương đươngCó từ 3 năm kinh nghiệm trong việc phát triển phần mềm trên các framework như Spring, Spring BootKinh nghiệm làm việc và hiểu biết với API (Restful, SOAP), SCM (Git, SVN), IDE (Eclipse, Intellij, Netbeans)Có kinh nghiệm thực tế ít nhất 1 năm trong việc cung cấp giải pháp, thiết kế các ứng dụng Microservice theo Domain Driven Design pattern trên nền tảng hạ tầng Docker/ContainerCó kinh nghiệm thực tế sử dụng và thiết kế Restful APIs sử dụng JAX-RS, JSONCó kinh nghiệm thực tế sử dụng và thiết kế các ứng dụng event-based và message-drivenHiểu biết về ELK, Kafka, K8s, KeyCloak là một lợi thếCó kinh nghiệm xây dựng Unit Test"
Kỹ Sư Triển Khai Hệ Thống (System Engineer),"Tốt nghiệp Đại học/Cao đẳng các Khối ngành Kinh Tế/CNTT thông tin/Viễn thông/Hệ thống thông tin....Từ 3 năm kinh nghiệm triển khai tích hợp hệ thống.Yêu cầu:Có kinh nghiệm triển khai các giải pháp Server, Storage, backup... của các hãng DELL/EMC, Netapp, Oracle, HPE. Kinh nghiệm triển khai giải pháp DELL/EMC Blade server, Powerstore storage và Power Scale.Có kinh nghiệm triển khai nền tảng Cloud và chuyển đổi hệ thống từ On Premise lên Cloud là một lợi thếCó kinh nghiệm về hệ điều hành như: VMware, Linux, Unix & Windows...Có kinh nghiệm triển khai một trong các nền tảng hóa: Vmware, Hyper-V, KVM, ...Có các chứng chỉ về hệ điều hành Linux, DELL EMC Server & Storage. Có chứng chỉ Cloud và cơ sở dữ liệu là một lợi thế.Có hiểu biết về Big Data, Hadoop.Có hiểu biết về giải pháp Containerization như Kubernetes.Ưu tiên ứng viên:Có các chứng chỉ về các giải pháp hạ tầng phần cứng và cơ sở dữ liệu.Có trách nhiệm và thái độ làm việc tốt. Có kỹ năng giao tiếp, làm việc nhóm và giải quyết vấn đề.Có khả năng viết tài liệu, đào tạo và trình bày tốt.Có khả năng nghiên cứu, đọc viết các tài liệu bằng tiếng Anh là một lợi thếThái độ:  Chăm chỉ, nhiệt tình, hòa đồng và có trách nhiệm trong công việc."
System Engineer,"Tốt nghiệp từ Cao đẳng, chuyên ngành CNTT, hoặc liên quanCó từ 1 năm kinh nghiệm trực tiếp triển khai hệ thống máy chủ, lưu trữ, ảo hóaCó kinh nghiệm triển khai trên các thiết bị Server, Storage, thuộc các hãng công nghệ: Dell, Cisco, IBM, HP... và các các giải pháp công nghệ liên quan về Microsoft, Container, Operation System, Backup, MonitoringCó kiến thức về bảo mật, máy chủ, hệ điều hành, hệ thống mail....Có chứng chỉ MCSA, MCSE... là lợi thếKỹ năng giao tiếp, làm việc nhóm tốtTiếng Anh đọc hiểu tài liệu chuyên ngành"
Kỹ Sư Triển Khai Dự Án,"Yêu cầu Bằng cấp/Chuyên môn- Tốt nghiệp Đại học/Cao đẳng chuyên ngành Điện tử - Viễn thông, CNTT hoặc tương đương- Cài đặt cấu hình OS: MS, Ubuntu, Centos...- Cài đặt, cấu hình các thiết bị mạng: server, router, SW, FW...- Có kinh nghiệm làm về triển khai sản phẩm dịch vụ CNTT, điện tử viễn thông Yêu cầu kỹ năng- Đọc hiểu tiếng Anh chuyên ngành- Khả năng làm việc nhóm- Khả năng phân tích lỗi, xử lý sự cố tốt- Chịu áp lực cao trong công việc- Có sức khỏe tốt và có khả năng đi công tác xa."
IT Support Cum System Admin,"Tốt nghiệp đại học, cao đẳng chuyên ngành CNTT, Điện tử viễn thông, IT - phần cứng, mạng...;Tối thiểu 2 năm kinh nghiệm làm IT hỗ trợ người dùng, sửa chữa, nâng cấp, lắp đặt máy tính, mạng máy tính, tối thiểu 1 năm kinh nghiệm trong doanh nghiệp với quy mô từ 80-100 người trở lên;Am hiểu về mạng nội bộ, có kiến thức về Mạng, LAN/WAN, Wifi;Hiểu biết về các thiết bị ngoại vi, phần cứng máy tính, mạng máy tính, thiết bị chấm công, Camera và kiểm soát truy cập;Thành thạo cài đặt, quản lý và hỗ trợ các ứng dụng văn phòng trên các nền tảng Window/MacOS/Linux;Có hiểu biết và làm việc được với:Window Active DirectoryCác hệ thống firewall FortiGate, Pfsense...Các hệ thống Switch Cisco, Access Point...Các nền tảng Public Cloud (AWS, Azure, GCP) - ở mức cơ bảnCó khả năng đọc hiểu tài liệu tiếng Anh, nghiên cứu và ứng dụng công nghệ;Ưu tiênCó khả năng vận hành/hỗ trợ văn phòng với khoảng 150 User/200+ thiết bị và phòng server nội bộ;Có chứng chỉ CCNA;Có kinh nghiệm làm việc và quản lý với Google Workspace;Có kinh nghiệm trong việc setup văn phòng mới kèm phòng máy chủ."
Technical Manager,"Experience:Graduated from college/university majoring in IT or related majorsMore than 10 year experience in equivalent positionsExperienced in writing technical documents, workflowsLanguage:Good English skills (reading, writing)Skill:8+ years of work experience on Backend systems or Java applications to serve large-scale and high traffic projects.Experience in Java developing language and Java Spring-Framework or C# Experience in constructing & operating storage in Large Data Distributed Deep knowledge and experience in applying Design PatternsUnderstanding & experience in Data structure, Algorithm, Distributed ServiceExperience with RESTful, GITKnowledge in System Architecture and MSAKnowledge in Data StructureProficient in Optimization and System AnalyzerAcknowledgments:Experience in the following areas is an advantage: DEVOPS, CI/CD, Docker"
QC Engineer (Fresher),"Understanding of web and software development processes.Familiarity with the Agile Scrum software development process and software testing phases.Experience E-commerce, system website testing, or multiple websites.Ability to document and create test cases based on project requirements.Proficiency in test planning and estimation to ensure effective and efficient testing processes.Ability to do manual testing, DB testing, and API testing.Knowledge of automation testing is an advantage.Strong communication skills, both in teamwork and independence.Ability with Automation testing is a plus.Good English language skills are a plus."
Chuyên Viên Phát Triển Giải Pháp Sản Phẩm,"Bằng cấp chuyên môn: Đại học CNTT, Khoa học máy tính, Điện tử Viễn thông hoặc tương đương, Ít nhất 2 năm kinh nghiệm trong lĩnh vực IoT, hệ thống Camera, hoặc các lĩnh vực liên quan,Hiểu biết sâu rộng về các giải pháp IoT và hệ thống Camera, có kiến thức về giao thức mạng, IP, Network...Có kỹ năng phân tích, thu thập dữ liệu, tổng hợp thông tin, lập kế hoạch và làm tài liệu chuyên nghiệpCó các chứng chỉ CNTT hoặc liên quan là một lợi th Kỹ năng giao tiếp, phân tích và giải quyết vấn đề tốt,Khả năng tiếng Anh trong công việc (đọc hiểu tài liệu, giao tiếp)."
IT Helpdesk,"- Tốt nghiệp các trường, trung tâm đào tạo về chuyên ngành IT phầ ucwnsg mạng;- Nắm vững về hệ thống phần cứng máy vi tính, máy in, máy pos, fax camera có kinh nghiệm xử lý các trục trặc về phần cứng;- Cài đặt cấu hình và sử dụng thành thạo hệ thống phần mềm: hệ điều hành thông thường, hệ điều hành server, phần mềm tiện ích, ứng dụng văn phòng;- Nắm vững các khái niệm về hệ thống mạng máy tính, có kinh nghiệm về việc lắp đặt, vận hành, giám sát và quản trị hoạt động của mạng LAN và các két nối internet (LAN, ADSL, cáp quang,...);- Nắm vững về hệ điều hành Window và Linux;- Có khả năng tự tìm tòi học hỏi, yêu thích và đam mê ứng dụng các công nghệ mới;- Có tinh thần làm việc nhóm, có trách nhiệm trong công việc;- Ưu tiên ứng viên có các chứng chỉ liên quan."
Nhân Viên Vận Hành Hệ Thống,"Tốt nghiệp CĐ/ĐH trở lên. Ưu tiên các chuyên ngành về CNTT, quản trị hệ thống thông tin...Biết lập trình cơ bản một ngôn ngữ lập trình (java, c, c++,html,..) Tư duy công nghệ và học hỏi nhanh Nhanh nhẹn, có trách nhiệm cao trong công việc được giaoBiết thao tác trích xuất xpath, css selector từ html là 1 lợi thế"
Project Manager,"Tốt nghiệp Đại học, chuyên ngành phù hợp với lĩnh vực chuyên môn;Có tối thiểu 01 năm kinh nghiệm trong các công việc có tính chất tương tự (Có hiểu biết về lĩnh vực quản lý dự án, CNTT)Độ tuổi: Từ 25- 35 tuổi;Kỹ năng giao tiếp với khách hàngKỹ năng soạn thảo văn bản. Biết cách trình bày văn bản theo chuẩn mực của các cơ quan, doanh nghiệpKỹ năng đọc hiểu, nắm bắt được các yêu cầu, quy định của hợp đồngCẩn thận trong công việcCó tinh thần trách nhiệm caoBiết lắng nghe, học hỏi, nâng cao kiến thức, kinh nghiệmLàm việc nhóm tốtĐọc hiểu tiếng Anh tốt"
Project Manager,"5 - 10 years’ experience in the Software Development industry. At least 2+ year experience working as Java Developer and at least 3 years’ experience in Project Management for developing & implementing Based Software Solutions.Having knowledge or experience in the fields of Insurance, Finance, Banking, Enterprise.Solid technical background, with understanding or hands-on experience in software development and web technologies.Knowledge of business management processes (BPM) and model design according to BPMN 2.0.Strong understanding of agile methodologies and the Scrum process in particular.Good working knowledge of project estimation techniques.Good job management, time management and problem-solving skills.Audience-aware communication skills that enable you to have technical discussions with developers as well as discussions with end-users who are not technically savvy. EducationBachelor’s degree in Computer Science, information technology, software development management, software engineering, or a related field."
Automation Tester,"Tốt nghiệp Đại học các chuyên ngành liên quan Có từ 3 năm kinh nghiệm thực tế tham gia các dự án ở vai trò Auto Tester Sử dụng thành thạo các công cụ kiểm thử tự động như Cucumber, Appium, Selenium, Serenity, Postman, Katalon, và Jenkins.Kinh nghiệm với các ngôn ngữ lập trình như Java, Python, hoặc JavaScript và kỹ năng viết script cao cấp.Kinh nghiệm với CI/CD và các công cụ như GitLab, Jenkins.Có kinh nghiệm về manual test là một lợi thếƯu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực tài chính ngân hàng và có kinh nghiệm với ETL.Tiếng Anh cơ bản, có khả năng đọc và viết tài liệu kỹ thuật, tham gia họp và trao đổi với các đối tác quốc tế."
Test Leader,"– Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, Điện tử Viễn thông, Toán Tin hoặc các lĩnh vực có liên quan.– Nắm vững và hiểu biết sâu sắc về các Quy trình Test, các kỹ thuật Testing.– Có kiến thức sâu về phương pháp kiểm thử phần mềm– Có kinh nghiệm về Web testing.– Có ít nhất 03 năm kinh nghiệm làm Leader.– Đọc hiểu tài liệu tiếng anh chuyên ngành CNTT.– Kỹ năng quản lý nhóm, lập kế hoạch, lãnh đạo nhóm, tổng hợp và báo cáo tốt.– Có khả năng truyền đạt, đào tạo và xử lý vấn đề kỹ thuật tốt;– Có thể đi công tác khi cần.Ưu tiên: Có các chứng chỉ Testing như ISTQB, CSTE,..."
Chuyên Viên Phân Tích Nghiệp Vụ,"Tốt nghiệp Đại học trở lên Tối thiểu 2 năm kinh nghiệm tại vị trí tương đương, ưu tiên các ứng viên làm phần mềm trong lĩnh vực y tế, chăm sóc khách hàngKinh nghiệm làm việc tại các công ty xây dựng các hệ thống cho khách hàng cuối (end users) ở quy mô toàn quốcỨng viên cần có nền tảng cơ bản về công nghệ phần mềmTinh thần ham học hỏi, chịu được áp lực tốt, nhạy bén và khả năng giao tiếpCó tư duy tốt, kỹ năng xử lý vấn đề khéo léo, linh hoạt, có tính cầu tiến trong công việcTrình độ tiếng Anh cơ bản đọc hiểu tài liệuHợp đồng lao động (thời vụ trong 6 tháng)"
Lập Trình .Net (C#),"- Tốt nghiệp CĐ, ĐH chuyên ngành CNTT- Ưu tiên ứng viên có từ 02 năm kinh nghiệm làm lập trình/vị trí tương đương - Ứng viên có kinh nghiệm/kiến thức dưới đây sẽ là một lợi thế:+ Có kinh nghiệm lập trình các dự án liên quan đến ERP, Tài chính – Kế Toán, Quản lý nhân sự, Chấm công, Tính lương, Quản lý vật tư+ Hiểu biết về các nghiệp vụ trong doanh nghiệp, đặc biệt là các doanh nghiệp trong Ngành Than+ Có kinh nghiệm về DevExpress+ Function, Triggers, User defined types, ADO.Net, LINQ"
Internal Communication (Lead),"4+ years corporate communication experience; preferably in a large multi-site organization.Must have proven experience utilizing company operational guidelines, practices, processes and culture.Excellent interpersonal and problem solving skills.Demonstrate ability to communicate across all levels of the organization, present complex ideas concisely and clearly articulate ideas verbally and in writing is necessary.Proven ability to multi-task and work successfully within strict deadlines while motivating others is necessary.Expert writing and proofing skills with exceptional knowledge of grammar and punctuation is required.Proven expertise developing effective employee communication utilizing multiple communication platforms is needed.Proficiency with Microsoft Office, including skills with Word, Excel and PowerPoint is necessary. Demonstrated experience building relationships across the organization is crucial.In addition, troubleshooting, organizational and problem solving skills with a can-do attitude and the ability to adjust to changing requirements are essential.Maintaining confidentiality, treating others with respect and upholding company values is key.Educational Requirements:This position requires Bachelor's Degree Communications, English, Public Relations or Journalism preferred or equivalent work experience."
Tester (Senior),"Có từ 7 năm kinh nghiệm TesterNắm được SQL căn bảnCó thể viết testcase, tạo data test và thực hiện test: web, API, app mobile...Nắm được ISTQB là 1 lợi thếCó tư duy logic và có thể support dev nắm flow nghiệp vụTừng làm trong các công ty outsource là lợi thế lớn"
Developer Leader (.NET Hoặc Java),"Tốt nghiệp đại học trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm;Có ít nhất 05 năm kinh nghiệm ở vị trí Software Developer (.Net hoặc Java), trong đó có ít nhất 02 năm có kinh nghiệm ở vị trí trưởng nhóm lập trình;Yêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể;Hiểu biết và nắm vững quy trình phát triển phần mềm;Am hiểu các hệ điều hành và cơ sở dữ liệu khác nhau;Có khả năng điều hành, quản lý, tổ chức, phân công công việc và kiểm soát các vấn đề phát sinh;Có khả năng thuyết trình tốt, giao tiếp tốt, tinh thần trách nhiệm cao;Có khả năng đọc hiểu tài liệu và research bằng tiếng anh;Chủ động tìm hiểu, học hỏi các công nghệ mới áp dụng vào dự án;Có tinh thần trách nhiệm cao trong công việc;Chủ động, cầu tiến trong công việc;Ưu tiên ứng viên nộp hồ sơ sớm."
IT Customer Service,"• Tốt nghiệp cao đẳng, đại học các chuyên ngành liên quan đến Công nghệ thông tin, Kỹ thuật phần mềm, Hệ thống thông tin hoặc lĩnh vực tương tự.• Có kinh nghiệm tối thiểu 0-2 năm trong lĩnh vực chăm sóc khách hàng hoặc hỗ trợ kỹ thuật, ưu tiên trong ngành công nghệ phần mềm.• Kỹ năng kỹ thuật:o Hiểu biết về các công nghệ hệ thống phần mềm, khả năng khắc phục sự cố kỹthuật.o Có kinh nghiệm làm việc với các công cụ quản lý ticket (như Jira, Fresdesk) và hệ thống hỗ trợ khách hàng.o Có kinh nghiệm/hiểu biết về Linux, Voip, Databaseo Có kinh nghiệm/hiểu biết về ngôn ngữ lập trình Pythono Có kinh nghiệm/hiểu biết về triển khai Docker, Micro Servie• Kỹ năng mềm:o Kỹ năng giao tiếp và xử lý tình huống tốt, có khả năng đồng cảm và thấu hiểu nhucầu khách hàng."
Lập Trình Viên ASP.NET,"- Tốt nghiệp Đại học ưu tiên chuyên ngành CNTT , có kinh nghiệm lập trình web.- Có kiến thức về ngôn ngữ lập trình , C, Net 5, Net6 Framework, Entity Framework, Sql Server- Có kinh nghiệm làm việc với Angular, Docker, Message queue, MongoDb là lợi thế"
Front-End Developer,"Required skills/Experience:Frontend developer with experience in Angular 8+ framework, and able to implement web UI with CSS/JavaScript basing on design provided.Knowledge of PrimeNG, Material framework and REST APIs are plus pointsExperiences of flutter, react is a plus pointGood English Communication and team work.Understanding of object-oriented programming, java-script modern syntax and style."
Lập Trình Web .Net,"Cấp độ Junior Developer (Lập trình viên sơ cấp)Kỹ năng lập trìnhSử dụng được một trong những ngôn ngữ như: C# trên ASP.NET/NET CORE để thực hiện công việc theo yêu cầuHiểu nguyên lý lập trình hướng đối tượngThiết kế được biến, hàm, class, interface...Implement được các funtion với input/output và quy trình xử lý được định nghĩa sẵnHiểu và tuân thủ C# convension, Comment function lớnSử dụng được các Class, thư viện, component có sẵn để giải quyết vấn đề như (Interface, component, dll...)Kỹ năng máy tínhSử dụng hệ điều hành và framework ở mức độ cơ bản:Nắm được các lệnh cơ bản của hệ điều hành Linux và WindowsNắm chắc .NET FrameworkSử dụng được các IDE để quản lý project đúng chuẩnCó kỹ năng debug được trên IDEBiết các giao thức mạng, kết nối cơ bản như (http, fpt, https,..)Biết cách sử dụng tool quản lý code như SVNKỹ năng databaseViết được các truy vấn Query đơn giảnBiết sử dụng Redis, ES là lợi thếKỹ năng client siteHiểu và sử dụng được chuẩn html/css: Less/SassSử dụng được các thư viện Javascript: JQuerySử dụng được các thiết kế trên Figma, Zeplin, Photoshop sang HTML/CSSBiết về SEO Onpage là lợi thếPhẩm chất con ngườiChủ động trong công việcCó tinh thần học hỏi caoCó trách nhiệm với công việc"
5G Developer,"Required skills/Experience:Proficient at one of following programming languages: C/C++, Python, Golang, JavaGood foundation about Telecom or NetworkingProactive, self-motivated, and strong ability to research new TechnologiesGood at English written and communication skillsHaving knowledge about one of Cloud, NFV, Container technologies is a plusHaving knowledge about 5G, RAN, O-RAN is a plusYears of experiences: Both fresher and experience"
Full-Stack Developer,"Required skills/Experience:Strong familiar with Python, Terraform (Iac), Java Sprint boot, .Net, Angular 8+, ReactJS, SQL, PostgreSQL or Redis, Cassandra, Neo4jExperience with system analyzing and designingStrong knowledge about Microservices vs monolithic architectureExperience with monitoring system and time series database (Grafana, Mimir, Loki, VictoriaMetrics), Linux (Ubuntu) services and systemBasic knowledge of data structures and algorithmsGood knowledge of Cloud Platform: AWS, GCP, ... (Network - VPC, Security - IAM, roles, ...)Good English Communication and team work.Thinking out of box and creative"
