title,description
Chuyên Viên Công Nghệ Thông Tin,Tối thiểu 01 năm kinh nghiệm ở vị trí tương đươngTốt nghiệp đại học chuyên ngành Công nghệ thông tin hoặc các chuyên ngành liên quanTrình độ Tiếng Anh: Tối thiểu B1
Frontend Developer,"Tốt nghiệp từ Đại học trở lên, ưu tiên tốt nghiệp các chuyên ngành về công nghệ thông tinCó kinh nghiệm với lập trình Front-end từ 1 năm trở lên (level Junior - Middle)Có kĩ năng lập trình tốt Javascript, Typescript, thành thạo sử dụng các Javascript framework ReactJS/NextJSAm hiểu HTML/CSS, biết sử dụng các CSS framework (Bootstrap,..) và tối ưu hoá CSS, HTML, JS theo chuẩn để cải tiến tốc độ.Có kinh nghiệm làm việc với công cụ Git, Restful API, figma...Có kỹ năng làm việc độc lập và làm việc theo nhóm tốt"
IT Planner (BA),"Yêu cầu: - Có kinh nghiệm 3-5 năm Planner dịch vụ Ecommerce, Website- Có kinh nghiệm lập kế hoạch và vận hành Online services- Có khả năng lập Storyboard, Wireframe, bảng mô tả tính năng- Có khả năng phân tích dữ liệu và giải quyết vấn đề- Có hiểu biết về chu kì  vòng đời phát triển sản phẩm- Có thể sử dụng thành thạo các công cụ như Figma, Jira, Redmine, Slack, Git,.....- Khả năng giao tiếp trôi chảy Ưu tiên:- Người có nhiều kinh nghiệm xử lý vấn đề khi ra mắt sản phẩm - Có kinh nghiệm lập kế hoạch hệ thống và quản lý vận hànhVui lòng gửi CV bằng tiếng Anh hoặc tiếng Hàn"
Nhân Viên Kiểm Thử Phần Mềm (Tester),"- Tốt nghiệp Đại học chuyên ngành CNTT hoặc chuyên ngành liên quan;- Có từ 2 năm kinh nghiệm làm việc với vai trò là Kiểm thử (Tester) hoặc Phântích nghiệp vụ và Kiểm thử (BA & Tester);- Có khả năng chủ động nắm bắt, phân tích yêu cầu và giao tiếp tốt với khách hàng;- Nắm vững các phương pháp, kỹ thuật kiểm thử và các quy trình kiểm thử liênquan;- Có kinh nghiệm xây dựng kế hoạch kiểm thử, thiết kế và xây dựng các Test Case;- Có khả năng làm việc độc lập hoặc theo nhóm;- Năng động, sáng tạo và có tinh thần trách nhiệm cao;- Chịu được áp lực cao trong công việc, sẵn sàng làm thêm giờ nếu cần;- Yêu thích công việc Kiểm thử phần mềm và Phân tích nghiệp vụ;- Có chứng chỉ Kiểm thử phần mềm là một lợi thế"
Frontend Developer,"Proficiency in React or Vue.js, with strong HTML, CSS, and JavaScript skills. Experience integrating frontend applications with backend APIs (RESTful and GraphQL). Ability to collaborate with UX designers to implement responsive, user-friendly interfaces. Proficient in using Git for version control"
Senior Embedded Software Engineer,"Bachelor/ Engineer degree in Electronics and Telecommunication, Automation, Computer Science, Information Technology or equivalentAt least 5 years’ working experience in software development, in which, at least 3 years in C Embedded.Have knowledge at Embedded development such as Linux, Driver, OS (Linux Kernel, RTOS IS A PLUS) Willing to become a leaderHave experience working about MCU, Peripherals, Board devices, Edge devices, etc.Understands about Object Oriented Analysis and Design at leastFirm knowledge at software engineering (from requirement definition, software design, implementation & testing)Problem analysis and problem solving skills"
Automation Test,"Có từ 3 năm kinh nghiệm trở lên trong việc sử dụng các framework (Selenium/Appium/Playwright/Cypress) cho việc tự động hóa các kịch bản testing E2E, API trên Website/Mobile Application.Có kiến thức sâu về ngôn ngữ lập trình Java/Javascript.Hiểu biết về các design pattern phổ biến như POM, Singleton Pattern,...Tiếng Anh giao tiếp khá tốtFamilar with Git, Maven/Gradle, các IDE (VS, IntelJ...) Postman/Swagger, SQL Database, TestNG, Junit.Hiểu biết về quy trình phát triển Agile/ScrumCó kiến thức về Docker, CI/CD là điểm cộng"
Automation Tester,"Có từ 3 năm kinh nghiệm trở lên trong việc sử dụng các framework (Selenium/Appium/Playwright/Cypress) cho việc tự động hóa các kịch bản testing E2E, API trên Website/Mobile Application.Có kiến thức sâu về ngôn ngữ lập trình Java/Javascript.Hiểu biết về các design pattern phổ biến như POM, Singleton Pattern,...Tiếng Anh giao tiếp kháFamilar with Git, Maven/Gradle, các IDE (VS, IntelJ...) Postman/Swagger, SQL Database, TestNG, Junit.Hiểu biết về quy trình phát triển Agile/ScrumCó kiến thức về Docker, CI/CD là điểm cộng"
Process Quality Assurance (PQA),"At least 2 year experience as PQA in software project.Have knowledge and experience about implementing methodology such as ISO 27001, ISO 9001, CMMI;Have CSQA (Certified Software Quality Assurance), Internal Auditor, Lead Auditor, or Scrum master certificate is a plus;Hard working, responsible, strong interpersonal and communication skills;Ability of working independent and teamwork, can work under high pressure;Have will and interest to learn;Have service mindset"
"Chuyên Viên Triển Khai Phầm Mềm Odoo (CRM,HRM...)","Có khả năng tìm hiểu nhanh và sử dụng các phần mềm quản trị doanh nghiệp.Khả năng viết các tài liệu tính năng sản phẩm, hướng dẫn sử dụng rõ ràng, mạch lạc, dễ hiểu.Có kiến thức kinh nghiệm sử dụng hoặc triển khai phần mềm Odoo là một lợi thế.Khả năng giao tiếp hiệu quả với nhóm nội bộ và khách hàng bên ngoài để thu thập và trao đổi các yêu cầu nghiệp vụ/chức năng.Có khả năng làm việc nhóm hay độc lập, làm việc dưới áp lực cao, chăm chỉ, cẩn thận, nhanh nhẹnƯu tiên các ứng viên đã có kinh nghiệm làm Tester hoặc BA IT"
Game Designer,"- Có kiến thức & kinh nghiệm làm 2D Mobile Game Design ít nhất 1-2 sản phẩm Mobile Game- Có kinh nghiệm và kiến thức về quy trình Test Game- Có độ nhạy bén về âm thanh, đồ hoạ, phối màu, animation- Có thể sử dụng các phần mềm hỗ trợ cho việc Game Design như: Wireframe Tool, Flow ChartTool, Adobe Audition, Photoshop hoặc các phần mềm tương tự và có hiểu biết về Lập Trình là 1 lợi thế- Có kỹ năng sắp xếp, điều hành, triển khai kế hoạch sản phẩm"
Mobile Developer (React Native),"At least 2 years of hands-on experience in mobile development with proficiency in React Native.Strong knowledge of mobile development best practices, including state management, component-based architecture, and API integration.Familiarity with native iOS/Android development is a plus.Good understanding of UI/UX principles to ensure a seamless user experience.Strong problem-solving skills and the ability to work independently or as part of a team.English: reading, writing."
HRBP Manager - Talent Acquisition Manager (Mass),"- At least 5 year experiences on mass recruitment (Sales field)- Deep understanding of the mass labor recruitment market, especially sales recruitment.- Demonstrated experience having worked with over 500 salesmans.- Overall experience of at least 3 years having worked in HRBP Management roles.- Priority is given to candidates who have worked as a business development/ salesman in the fields of IT services, banking, education, and insurance.- Strong communication skills, strategic thinking and planning, data-driven decision-making."
Business Development Intern,"- Trình độ: Tốt nghiệp Cao Đẳng, Đại học (chuyên ngành CNTT, Kinh tế, Phần mềm, Khoa học máy tính hoặc các chuyên ngành liên quan);- Ưu tiên các ứng viên đã từng đi thực tập, đi làm fulltime;- Có kiến thức cơ bản về Database, SQL;- Tiếng anh cơ bản;- Khả năng nghiên cứu, làm việc độc lập, làm việc nhóm tốt;- Tư duy logic, khả năng tiếp cận và phân tích xử lý dữ liệu linh hoạt, tích cực;- Tự tin thuyết trình, tư vấn, thuyết phục tốt;- Sử dụng thành thạo tin học văn phòng (Word, Excel, Powerpoint, Visio)."
"Kỹ Thuật Viên Dịch Vụ IT Phần Cứng, Mạng","- Nam, Bằng cấp hoặc chứng chỉ liên quan trong lĩnh vực Kỹ thuật Máy Tính, Điện Tử hoặc Công Nghệ Thông Tin.- Kinh nghiệm 2 năm làm việc trong lĩnh vực công việc tương đương - Kiến thức vững về phần cứng và phần mềm của máy tính và máy in.- Kỹ năng giao tiếp tốt và khả năng làm việc độc lập hoặc nhóm.- Khả năng phân tích và giải quyết vấn đề kỹ thuật một cách nhanh chóng và chuyên nghiệp.- Chịu được áp lực, có thể đi công tác, làm thêm giờ.- Năng động, sáng tạo.- Có khả năng làm việc độc lập và làm việc theo nhóm.- Có phương tiện đi lại bằng xe máy.- Trung thực, hòa đồng, nhanh nhẹn, nhiệt tình, ham học hỏi, có trách nhiệm, có tinh thần cần cầu tiến.-Đạo đức/ Uy tín cá nhân/ Tính gắn kết lâu dài/ Có quan điểm làm việc hoặc định hướng công việc rõ ràng.- Có hướng gắn bó lâu dài với công việc chuyên môn, chịu được áp lực công việc.- Không vướng vào tệ nạn xã hội.- Không kinh doanh riêng với khách hàng của công ty, không kinh doanh ngoài cùng lĩnh vực công việc với công ty."
Thực Tập Sinh Java Dev,"- Tốt nghiệp ĐH, ưu tiên học Chuyên ngành CNTT- Nắm vững kiến thức nền tảng về Java, hiểu biết về core java- Ưu tiên các bạn có  kinh nghiệm về Java phát triển ứng dụng Web - Tiếng anh đọc hiểu, viết thành thạo"
Trưởng Phòng Kỹ Thuật Giải Pháp,"- Nam Tốt nghiệp Đại học chuyên ngành CNTT.- Có từ 5 năm kinh nghiệm trở lên.- Tuổi từ 29 đến 36, có thể đi công tác nếu công ty yêu cầu.- Sử dụng thành thạo AutoCAD, Internet, tin học văn phòng ...- Tiếng Anh giao tiếp, đọc hiểu tài liệu chuyên môn.- Có khả năng thuyết trình, huấn luyện công việc tốt.- Không kinh doanh riêng với khách hàng của công ty, không kinh doanh ngoài cùng lĩnh vực công việc với công ty."
Backend Developer (Golang),"● Bachelor’s degree in Computer Science, Engineering, or a related field.● 2+ years Golang experience in production use case.● 3+ years integrating RESTful and gRPC.● In-depth knowledge of MVC, OOP, Design patterns, Clean code.● Knowledge/Experience of SQL and common relational database systems such as PostgreSQL andMySQL.● Experience in Json data parsing.● Experience with Non-SQL or Document databases.● Experience in Microservice Architecture.● Understanding the software development process and experience:○ Agile Development○ Code repository like Git○ Ticket management system like JIRA○ Testing framework & Mock○ CI/CD● Excellent problem-solving skills and attention to detail.● Experience working in Agile/Scrum development environments.● Basic English communication required.Preferred Qualifications:● 2+ years Python experience.● Experience developing applications running on k8s.● Knowledge/Experience of the following datastore:○ Kafka○ Redis○ TimescaleDB● Experience golang web framework like Mux or Gin.● Knowledge of Agile/Scrum methodologies.Personal Attributes:● Strong leadership and team management skills.● Excellent organizational and multitasking abilities.● High level of initiative and a proactive approach.● Strong communication and negotiation skills.● Ability to work independently and as part of a team."
Data & Digital Business Partner,"3-5 years of professional experience integrating Data/Digital solutions into business environments.Bachelor’s / Engineering’s degree in Information Technology, Computer Science, Management Information Systems or related field .Microsoft Azure cloud, Data Engineering, Power BI certification is an advantage.Communications effectivelyInternal relationships and partnerships skillsProblem solving skillTeam work and supportive mannerDemonstrates cultural competence and behaviour consistent with the core values, vision, and missionUI/UX knowledge and experienceSystematic thinking and structure approachEnglish fluently"
L1 Support,"- Have 1-3 years of experience in IT Support position.- Experience in using ticketing systems (Jira) and remote support tools.- Familiarity with various operating systems (Windows, macOS) and software applications.- Experience in network, server, database, and application monitoring.- Experience with cloud platforms and monitoring tools (Guanche, Grafana, Zabbix...).- Ability to resolve technical basic issues and provide remote support, incoming incident scan be resolved by the L1 support.- Good communication skills.- Be able to solve technical problems for non-specialists.- Ability to work independently and as part of a team.- Intermediate English communication and writing."
.Net Techlead,"Degree in Engineering (Computer/Telecommunication), Computer Science/ Information Technology or equivalentUse of the most modern PM methodologies and technologiesReal work / project references, at least 2 years of experience as a project manager/ team leader in ITKnowledge of project management methodologiesExperienced in the following technology areas will be an advantage:Technical base: Java, .Net, ReactJS...Comfortable with exploring new technologiesHave a track record of delivering technical programs, projects, and products in a highly technical environment.Have a strong understanding of software development lifecycles and modern transaction processing environments.A good team player with strong leadership qualities. Self-motivated, result-oriented, organized and ability to work independently with priorities under tight timelines, in a complex customer environmentSelf-motivated with a positive “can-do” attitude, creative with excellent presentation, communication and good negotiation techniquesExcellent interpersonal skills to establish and maintain good relationship with colleagues, clients and head quarter management.Fluency in English.This position might be required to work on client premises for an extended period."
Thực Tập Sinh IT,"Yêu cầu:Giới tính Nam, sức khoẻ tốt.Trình độ học vấn: sinh viên năm cuối, sắp tốt nghiệp hoặc ra trường dưới 1 năm (sau khi tốt nghiệp) ngành Công nghệ thông tin các trường Đại học hoặc Cao đẳng.Có thể thực tập toàn thời gian trong vòng 3 - 4 tháng.Ưu tiên các bạn yêu thích ngành tổ chức sự kiện.Hiểu về điện tử, và lập trình là một lợi thế.Chịu khó, nhanh nhẹn, ham học hỏi."
Account Manager,2-5 years of experience in Sales/ Business Development/ Account Manager. Prefer candidates having experience in the IT field and/or working as an international salesperson.  Excellent in English (equivalent to IELTS 6.5 or above). Strong presentation and interpersonal skills. Disciplined time management and ability to work under pressure. Ability to work effectively in high pressure & with cross-functional teams.
Manual Test,"2+ years in Testing fieldsExperience in project management and QC methodologyFamiliarity with Agile frameworks and regression testing is a plusAbility to document and troubleshoot errorsExcellent communication skillsAttention to detailAnalytical mind and problem-solving aptitudeStrong organizational skillsFluent Spoken EnglishBSc/BA in Computer Science, Engineering or a related fieldSoft-skillsPossible to co-work with team.Good at investigating and solving incident and problem skill.Bonus points if you have some of thisExperienced with GIT, SVN, REDMINE, JIRATeam leadership and project management experience"
Automation Test,"Minimum 2 years of experience in software testing with hands-on manual testing experience.Skilled in developing test automation scripting in JavaExperience in one or more automated testing tools/frameworks (Postman, Selenium, Katalon, JMeter, JUnit, Cucumber)Experience in continuous testing pipelines using JenkinsExperience with Agile (Scrum) and Test-Driven Development (TDD)Good understanding of performance and load testing (JMeter)Experience in Behaviour-Driven Development is a plus pointUnderstanding of JEST, Mocha or others for React and React Native testing is a plus pointWorking experience in logistics, supply chain, or transportation industry is added advantageTeam player with strong communication and interpersonal skills"
Japanese Test Lead (JLPT N2),"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)Good knowledge: API testing, Database Testing, Functional Testing.At least 2+ YOE in Test Lead position.Strong knowledge and experience in Manual test.Have deep understanding of testing software processes.Japanese: JLPT N2+"
Pre-Sales IT (Fluent In English),"Bắt buộc:Kinh nghiệm làm trog lĩnh vực IT:  tối thiểu 1 năm với Dev - 1,5 với Test/BA Có hiểu biết về quy trình phát triển phần mềm.Kinh nghiệm phân tích yêu cầu, phân rã chức năng hệ thống Kỹ năng giao tiếp tiếng Anh tốt, tự tin trao đổi với khách hàng quốc tế.Điểm cộng:Ưu tiên ứng viên có kinh nghiệm sử dụng Azure/AWS.Ưu tiên ứng viên có kiến thức về một số lĩnh vực sau: Banking – Finance, Funding, Insurance, Hospitality, Stock, ERP, CRM, CMS, Risk Management, Booking online, SaaS, On-PremiseCác kỹ năng bổ trợ: Biết sử dụng một trong số các tool (chatGPT, Stackoverflow, Postman, swagger . . .)Có hiểu biết cơ bản về các hệ CSDL, có hiểu biết về các chuẩn CSDLBiết sử dụng một trong số các tool: Draw, balsamiq, Figma, . . ."
Tester Data,"Có ít nhất 6 tháng tham gia dự án test dataƯu tiên có kinh nghiệm bankThành thạo SQLKỹ năng: Đọc hiểu các tài liệu mô tả và phân tích yêu cầu, tài liệu thiết kế của giải pháp; Cẩn thận, tỉ mỉ và có kinh nghiệm giao tiếp, làm việc nhóm tốt, có khả năng phối hợp với Developer trong quá trình fix bug.Tư duy nhanh nhẹn, ham học hỏiƯu tiên: Có hiểu biết, kinh nghiệm và làm việc 1 trong các hệ thống như Corebanking (T24,...), Card (Way4, CMS,...),Ưu tiên người có kinh nghiệm ngân hàng, công ty tài chính, chứng khoán, bảo hiểm"
Thực Tập Sinh Kỹ Sư Dữ Liệu,"Đang là sinh viên năm cuối/mới tốt nghiệp chuyên ngành CNTT, Toán tin, Phân tích dữ liệu, ...Có kiến thức về các kỹ thuật phân tích và xử lý dữ liệu (ví dụ: làm sạch dữ liệu, chuyển đổi dữ liệu, phân tích thống kê, trực quan hóa dữ liệu, ...)Thành thạo một trong các ngôn ngữ lập trình: Python, R, SQLCó kiến thức về các thư viện và công cụ phân tích dữ liệu (ví dụ: Pandas, NumPy, Scikit-learn, Matplotlib)Có hiểu biết về hệ thống, các khái niệm về GIS là lợi thếCó hiểu biết và đã sử dụng một trong các thư viện, cơ sở dữ liệu và công cụ về GIS là một lợi thế: PostGIS, Geopandas, QGIS Desktop, Google Earth Engine, ...Có kỹ năng giao tiếp và làm việc nhóm tốtCó trách nhiệm cao với công việc, học hỏi nhanh chóng"
Fullstack Java (Social Insurance Full Salary) Tiếng Anh Giao Tiếp Cơ Bản,"Your Skills and Experience:Basic Qualification:Bachelor’s degree or higher; preference given to candidates in a related fieldMinimum of 4  years in software developmentProficient in C#/Java and Spring FrameworkGood knowledge of HTML, CSS, JavaScript/jQuery/Bootstrap.Proficient in MySQL database and database design.Knowledgeable in OOP (Object-Oriented Programming) and Design Patterns.Knowledge of Python is an advantageEnglish language: Good at reading and writing english skill, basic speaking and listening Nice to have:Experience managing big data and handling large-capacity trafficExperience with frameworks such as CodeIgniter, as well as technologies like Redis and Elasticsearch.Proficient in Git, Docker,MongoDB and Linux.Background in server construction and development within a Linux environment"
Quản Trị Mạng - Network Engineer,"- Tốt nghiệp đại học trở lên chuyên ngành CNTT/ Toán tin/ Điện tử viễn thông/ Khoa học máy tính.- Kiến thức cơ bản về Network.- Kiến thức cơ bản các thiết bị Cisco, Fortigate..- Tối thiểu 2 năm kinh nghiệm trở lên làm viêc ở vị trí tương đương- Ưu tiên: Có chứng chỉ CCNA, CCNP."
Java Backend Developer,"Yêu cầu ứng viên từ 1 năm kinh nghiệm: 1 ngườiThành thạo Java, lập trình hướng đối tượngCó kinh nghiệm làm việc với Spring FrameworkCó kinh nghiệm Spring boot, MySql, Postgresql,NoSQL...Có kỹ năng làm việc nhóm, sẵn sàng hỗ trợ các thành viên trong team Yêu cầu ứng viên từ 3 năm kinh nghiệm: 1 ngườiThành thạo Java, lập trình hướng đối tượngThành thạo Spring Framework, Spring BootThành thạo CSDL MySQL hoặc Postgresql, NoSQL,Redis,MongoDB...Có kinh nghiệm làm việc với message queue, ví dụ Kafka, ActiveMQ, RabbitMQCó kinh nghiệm Docker, AWS, CI/CDCó kinh nghiệm xây dựng hệ thống Microservices sử dụng SpringCó kinh nghiệm xây dựng hệ thống lớn đáp ứng được nhiều người dùngCó kinh nghiệm về xử lý tối ưu xử lý dữ liệu, dữ liệu lớnCó kinh nghiệm về phát triển search engine hoặc đã từng sử dụng Solr, ElasticSearch,Có kỹ năng làm việc nhóm, sẵn sàng hỗ trợ các thành viên trong teamƯu tiên những bạn có kinh nghiệm leader và đã từng tham gia xây dựng những hệ thống lớn theo cấu trúc Microservices, hệ thống sàn thương mại điện tử."
Front-End Developer (Html/Css/ JavaScript ),"Có ít nhất 2 năm kinh nghiệm với HTML, CSS, JSCó kinh nghiệm cắt giao diện từ tool design (Figma)Có kinh nghiệm làm việc với SCSS, LESS, SASS.Có kinh nghiệm Javascript, JqueryCó kinh nghiệm tùy biến giao diện trên nhiều nền tảng trình duyệt web khác nhau (responsive)Có kinh nghiệm lập trình Laravel là lợi thếBiết kỹ năng sử dụng Git"
Nhân Viên Kỹ Thuật - Lắp Đặt Camera An Ninh,"- Ứng viên có kinh nghiệm lắp đặt camera an ninh;- Ứng viên tốt nghiệp Trung cấp nghề trở lên từ các chuyên ngành liên quan như Cơ khí/Kĩ thuật ứng dụng/Điện/Điện tử/Điện lạnh/Công nghệ thông tin...;- Sử dụng tốt tin học cơ bản, thành thạo quản trị mạng là một ưu tiên;- Giao tiếp tốt, chăm chỉ, chịu khó và ham học hỏi..."
Nhân Viên IT - Helpdesk,"Tốt nghiệp Đại học chuyên ngành Công nghệ thông tinTối thiểu 01 năm ở vị trí tương đươngTrách nhiệm cao trong công việcTrung thực, chăm chỉ"
Junior - Middle IT Comtor (Japanese N2),"Từ 2 năm kinh nghiệm ở vị trí ComtorTiếng Nhật trình độ tương đương N2 trở lên.Có khả năng truyền đạt và xử lý vấn đề tốt.Có khả năng học hỏi và lĩnh hội kiến thức mới tốt, cẩn thận, chu đáo.Ưu tiên có kiến thức về IT.Ưu tiên có kinh nghiệm về testing."
Kỹ Sư Cầu Nối Tiếng Nhật (Japanese BrSE),"(1) Bằng cấp, kinh nghiệm:Tốt nghiệp Đại học chuyên ngành CNTT hoặc có liên quan.Tiếng Nhật: giao tiếp tốt, thành thạo cả kỹ năng nghe nói đọc viết (từ N2 trở lên).Có kinh nghiệm làm việc ít nhất 1 năm ở vị trí BrSE.Có tối thiểu 2 năm kinh nghiệm coding trở lên, ưu tiên có kinh nghiệm sử dụng một trong các ngôn ngữ lập trình:  PHP, Java, JavaScript...Có khả năng nghiên cứu và nắm bắt được kiến thức về hệ thống cũng như các điểm quan trọng về kỹ thuật/công nghệ.(2) Kỹ năng mềm:Có tư duy tốt, linh hoạt và khả năng phản biện.Có khả năng làm việc tự chủ và kỹ năng làm việc theo nhóm.Khả năng dẫn dắt, truyền cảm hứng cho đội nhóm.Cởi mở, lắng nghe và sẵn sàng tiếp thu/tiếp nhận những cái mới.Mục tiêu, định hướng công việc rõ ràng.(3) Ưu tiên:Có kinh nghiệm phân tích, làm SRS/URD và làm tài liệu thiết kế basic design, detailed design.Có kinh nghiệm làm việc theo mô hình Agile/Scrum."
Chuyên Viên Đảm Bảo Chất Lượng Quy Trình (PQA),"Tốt nghiệp chuyên ngành công nghệ thông tin hoặc các chuyên ngành có liên quan.Có kinh nghiệm tối thiểu 3 năm ở làm trong các công ty IT Outsourcing.Có kiến ​​thức về quản lý dự án, quy trình phát triển phần mềm và phương pháp phát triển phần mềm như Agile/Scrum, Kanban, Waterfall.Có kiến ​​thức về ISO 27001, ISO 9001 và có khả năng áp dụng vào công việc.Tư duy logic và chú ý đến chi tiết.Có khả năng thu thập và phân tích dữ liệu.Có khả quản lý thời gian, lập kế hoạch, soạn thảo tài liệu.Có khả năng giao tiếp và làm việc nhóm.Chủ động tìm kiếm cơ hội học tập ngoài yêu cầu hiện tại.Có tư duy tốt, linh hoạt và khả năng phản biện.Chủ động học hỏi, cam kết hoàn thành công việc.Có mục tiêu, định hướng rõ ràng.Có tiếng Anh hoặc tiếng Nhật là một lợi thế."
Business Analyst - Fintech,"Giới tính: Nam/NữTốt nghiệp chuyên ngành công nghệ thông tin hoặc các lĩnh vực kỹ thuật.Có kiến thức tốt về IT hiểu được thiết kế kỹ thuật và các thông số kỹ thuật, hệ thống ứng dụng phần mềm, các ngôn ngữ lập trình.Hiểu quy trình quản lý kinh doanh, hiểu các yêu cầu kinh doanh của khách hàng và dịch vụ.Có kinh nghiệm làm tham gia phân tích, thiết kế xây dựng tài liệu cho các dự án ít nhất 2 năm ở vị trí tương đươngKhả năng giao tiếp hiệu quả với nhóm nội bộ và khách hàng bên ngoài để cung cấp các yêu cầu chức năng.Tiếng Anh giao tiếp tốt là lợi thếƯu tiên ứng viên có kinh nghiệm làm dự án về lĩnh vực tài chính ngân hàng, bảo hiểm"
Senior Business Analyst - Cyber Security,"Tốt nghiệp Đại học, chuyên ngành CNTT hoặc tương đương hoặc tương đương.Có tối thiểu 3 năm kinh nghiệm trong lĩnh vực BA hoặc phát triển phần mềm. Có kiến thức, am hiểu về phát triển phần mềm.Thành thạo kỹ năng phân tích thiết kế phần mềm, thiết kế hệ thống thông tin.Có kỹ năng làm việc nhóm, giải quyết vấn đề, giao tiếp và thuyết trình tốt.Ưu tiên ứng viên:Có chứng chỉ trong lĩnh vực phát triển phần mềm hoặc chứng chỉ về An toàn thông tin.Có kinh nghiệm nghiên cứu, phát triển phần mềm trong lĩnh vực ATTT.Có trình độ tiếng Anh tương đương TOIEC 650 trở lên."
Nhân Viên Tổ Chức Sự Kiện - Event Planner,"– Kinh nghiệm ít nhất 02 năm ở vị trí trong ngành Truyền thông, PR, Chạy sự kiện– Trình độ học vấn, chuyên ngành: Tốt nghiệp Đại học, Cao Đẳng trở lên các ngành Quản trị nhân lực, Luật, Tài chính, Ngân hàng, Ngoại thương, Thương mại, Quản trị kinh doanh, Ngoại ngữ...– Kỹ năng truyền tải thông tin: Biết cách truyền đạt vấn đề rõ ràng, ngắn gọn và hiệu quả;– Kỹ năng tin học: Sử dụng thành thạo tin học văn phòng;– Kỹ năng làm việc nhóm: Trao đổi, làm việc nội bộ một cách hòa đồng, giữ quan hệ tốt với mọi người.– Tiếng Anh tốtYêu cầu khác:– Tư duy sâu rộng, nhận thưc vấn đề nhanh;– Khả năng lập kế hoạch tổ chức công việc hiệu quả;– Phát huy được sức mạnh tập thể khi làm việc nhóm;-Tạo dựng được mối quan hệ tốt đẹp với mọi người."
IT Support - Từ 1 Năm Kinh Nghiệm,"- Yêu cầu độ tuổi: 22-35 - Yêu cầu bằng cấp CĐ trở lên -   Có kinh nghiệm quản lý hệ thống server và các ứng dụng website, database -   Am hiểu về kiến trúc mạng máy tính, TCP/IP,  Networking -   Có kiến thức về Web Server, Virtualization -   Có kinh nghiệm về các hệ thống giám sát Cacti, Nagios, Zabix, Snmp- Ưu tiên gắn bó lâu dài"
Quản Trị Hệ Thống (Linux System Administrator),"Có tối thiểu 1 năm kinh nghiệm trở lên trong quản trị hệ thống Linux (Debian,Ubuntu).Có kinh nghiệm và triển khai các dịch vụ trên  AWS  (VPC, EC2, S3, CloudFront...).Có hiểu biết về các phương pháp Load Balancing và cấu hình, vận hành Firewall.Có hiểu biết các công cụ quản lý cấu hình như Ansible, Terraform (ưu tiên).Kinh nghiệm với các công cụ giám sát hệ thống như Nagios, Zabbix hoặc Prometheus.Có kinh nghiệm quản trị và vận hành quy trình CI/CD với Git , Jenkins ...Hiểu biết về các nguyên tắc mạng (DNS, DHCP, TCP/IP).Xây dựng, triển khai, vận hành hệ thống mạng Văn phòng với Fortinet , Cisco , Aruba ...Có hiểu biết và vận hành hệ thống chấm công , Camera."
Sale B2B,"Tốt nghiệp đại học chuyên ngành Kinh tế, Quản trị kinh doanh, Tiếng Anh, hoặc các ngành liên quan.Trên 2 năm kinh nghiệm trong lĩnh vực bán hàng B2B, ưu tiên kinh nghiệm trong ngành giáo dục hoặc công nghệ giáo dục.Kỹ năng giao tiếp, thuyết trình và đàm phán xuất sắc.Có khả năng làm việc độc lập và làm việc nhóm.Thành thạo tiếng AnhHiểu biết về thị trường giáo dục, đặc biệt là IELTS."
Nhân Viên Lập Trình Back-End,"Tốt nghiệp ĐH/CĐ chuyên ngành CNTT hoặc các chuyên ngành liên quan.2 năm kinh nghiệm, trong đó tối thiểu 1 năm gần đây lập trình trên nền tảng .NET Framework ASP.NET, Web Api, Web MVC.Thành thạo các kiến thức về .NET Framework hoặc .NET Core (C#, ASP.NET, MVC, ...)Có kinh nghiệm xây dựng các hệ thống sử dụng .NET là một lợi thế.Có kinh nghiệm với một trong các database SQL Server, MySQL, PostgreSQL.Có kiến thức về OOP, Design Pattern, nguyên lý SOLID, SOA/Micro Service.Ưu tiên ứng viên thích làm product, tư duy làm sản phẩm cao, sản phẩm hướng người dùng cuối.Chủ động trong công việc, khả năng làm việc nhóm tốt."
Business Analyst,"Tối thiểu 2 năm kinh nghiệm và kỹ năng với những dự án phần mềmCó kiến thức, am hiểu về Phát triển phần mềm.Có làm kết nối API Hiểu biết automation test, performance test, hiểu biết về các sản phẩm công nghệ trong lĩnh vực y tế, sản phẩm EMR là lợi thếKỹ năng phân tích vấn đềKhả năng học hỏi, tiếp cận nhanh và tư duy logicKhả năng làm việc nhóm và làm việc độc lậpKhả năng giao tiếpKhả năng thuyết phục"
Nhân Viên Market Research (Mobile App),"Ít nhất 2 năm kinh nghiệm làm nghiên cứu thị trườngCó kiến thức về các phương pháp thống kê và kinh nghiệm sử dụng các công cụ thống kêTỉ mỉ, chi tiết, thích làm việc với các con sốCó tư duy phân tích và tư duy phản biện tốtCó khả năng làm việc nhóm tốt"
